# Slickenslides on normal faults in central Crete, Greece
# From Angelier, 1979
# If rake angles do not have a letter indicating direction, they indicate
# an azimuth of slickenslides.
#Strike	Dip	Rake
045	61S	80E
036	59S	80W
090	80N	58W
052	68N	78W
045	63N	78W
110	88N	59W
074	78N	65W
045	60S	80W
077	61N	86E
067	56S	88E
049	70S	69W
036	50N	132
058	51S	79W
079	62S	77W
056	62N	84W
034	61N	75W
034	60S	76W
037	63S	85W
068	72S	63E
049	53S	90E
189	47W	115
057	45N	116
112	74S	66W
025	42W	116
034	56W	129
037	77E	50S
057	61S	62W
068	58N	74E
061	67S	81W
028	58E	58S
030	69E	85N
041	63S	84W
023	68E	87N
069	48N	85E
068	69N	88W
015	68W	80N
094	70N	72W
087	71N	89E
