Azimuth,Dip
46,60
41,55
50,50
52,64
48,70
47,64
52,52
53,64
44,60
48,52
50,64
52,48
40,30
55,28
50,26
51,40
47,60
42,52
42,54
47,46
49,48
54,52
43,76
41,78
32,50
46,57
36,51
40,63
45,54
60,46
38,54
51,24
46,18
37,22
31,18
61,20
101,24
85,30
70,28
82,20
81,21
74,24
80,20
64,28
62,20
74,20
75,19
86,20
80,18
88,19
71,18
41,19
45,23
40,24
51,23
50,22
50,46
46,31
51,31
64,40
56,38
71,30
71,18
50,30
48,30
47,28
56,38
41,32
64,40
36,38
43,43
46,35
42,51
46,30
52,30
48,32
78,22
73,21
75,26
80,28
74,26
186,21
203,20
182,18
166,22
188,18
154,21
169,22
174,25
179,23
158,20
175,18
171,16
164,16
171,20
161,19
157,16
185,20
172,24
171,22
206,19
197,18
201,16
191,20
206,45
223,48
206,31
213,28
190,22
161,24
195,26
177,18
171,24
174,28
168,22
164,20
166,30
161,20
184,25
201,28
162,20
164,18
158,21
165,19
172,21
162,18
